sector,coordinates,latitude,longitude
Sector 1,"28.3663° N, 76.9456° E",28.3663,76.9456
Sector 2,"28.5095° N, 77.0320° E",28.5095,77.032
Sector 3,"28.4909° N, 77.0176° E",28.4909,77.0176
Sector 4,"28.4738° N, 77.0107° E",28.4738,77.0107
Sector 5,"28.4794° N, 77.0176° E",28.4794,77.0176
Sector 6,"28.4745° N, 77.0262° E",28.4745,77.0262
Sector 7,"28.4644° N, 77.0143° E",28.4644,77.0143
Sector 8,"28.3738° N, 76.8970° E",28.3738,76.897
Sector 9,"28.4603° N, 77.0000° E",28.4603,77
Sector 10,"28.4537° N, 77.0009° E",28.4537,77.0009
Sector 10A,"28.4469° N, 77.0106° E",28.4469,77.0106
Sector 11,"28.4531° N, 77.0202° E",28.4531,77.0202
Sector 12,"28.4723° N, 77.0320° E",28.4723,77.032
Sector 13,"28.4757° N, 77.0392° E",28.4757,77.0392
Sector 14,"28.4711° N, 77.0454° E",28.4711,77.0454
Sector 15,"28.4621° N, 77.0464° E",28.4621,77.0464
Sector 16,"28.4684° N, 77.0521° E",28.4684,77.0521
Sector 17,"28.4791° N, 77.0608° E",28.4791,77.0608
Sector 17A,"28.4785° N, 77.0600° E",28.4785,77.06
Sector 17B,"28.4806° N, 77.0663° E",28.4806,77.0663
Sector 18,"28.4908° N, 77.0690° E",28.4908,77.069
Sector 19,"28.5040° N, 77.0748° E",28.504,77.0748
Sector 20,"28.5106° N, 77.0857° E",28.5106,77.0857
Sector 21,"28.5134° N, 77.0723° E",28.5134,77.0723
Sector 22,"28.5072° N, 77.0640° E",28.5072,77.064
Sector 23,"28.5121° N, 77.0478° E",28.5121,77.0478
Sector 24,"28.4939° N, 77.1038° E",28.4939,77.1038
Sector 25,"28.4844° N, 77.0860° E",28.4844,77.086
Sector 26,"28.4757° N, 77.1032° E",28.4757,77.1032
Sector 27,"28.4658° N, 77.0917° E",28.4658,77.0917
Sector 28,"28.4728° N, 77.0865° E",28.4728,77.0865
