property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Maa Bhagwati Residency,Sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2,2,1,4,west,Relatively New,,,,900.0,0,0,0,0,0,0,28
flat,Apna Enclave,Sector 3,0.5,7692.0,650.0,Carpet area: 650 (60.39 sq.m.),2,2,1,1,west,Old,,,,650.0,0,0,0,0,0,2,37
flat,Tulsiani Easy In Homes,Sohna Road,0.4,6722.0,595.0,Carpet area: 595 (55.28 sq.m.),2,2,3,12,na,New Property,,,,595.0,0,0,0,0,0,0,36
flat,Smart World Orchard,Sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2,na,New Property,,,,1200.0,1,0,0,0,0,0,76
flat,Parkwood Westend,Sector 92,0.7,5204.0,1345.0,Super Built up area 1345(124.95 sq.m.),2,2,3,5,na,Undefined,,1345.0,,,1,0,0,0,0,0,0
flat,Signature Global Infinity Mall,Sector 36,0.41,6269.0,654.0,Built Up area: 654 (60.76 sq.m.),2,2,3,3,na,Undefined,,,654.0,,0,0,0,0,0,0,0
flat,The Cocoon,Dwarka Expressway,2.0,13333.0,1500.0,Super Built up area 1500(139.35 sq.m.),3,3,3,5,na,New Property,,1500.0,,,0,0,0,0,0,0,0
flat,ATS Triumph,Sector 104,1.8,7860.0,2290.0,Carpet area: 2290 (212.75 sq.m.),3,4,3,14,na,New Property,,,,2290.0,0,0,0,0,0,0,60
flat,Vatika Xpressions,Sector 88B,1.1,8148.0,1350.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3+,2,north-east,Undefined,,,1350.0,1050.0,1,0,0,0,0,0,58
flat,Raheja Revanta,Sector 78,4.75,16885.0,2813.0,Built Up area: 2813 (261.34 sq.m.),3,3,2,31,na,New Property,,,2813.0,,0,1,0,0,0,0,100
flat,Signature Global City,Sector 81,0.96,9767.0,983.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,1,na,New Property,,,,1075.0,0,0,0,0,0,0,49
flat,HCBS Sports Ville,Sohna Road,0.29,5587.0,519.0,Carpet area: 519 (48.22 sq.m.),2,2,1,4,na,Relatively New,,,,519.0,0,0,0,0,0,0,44
flat,Supertech Araville,Sector 79,1.35,6940.0,1945.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,4,na,Relatively New,,,,1945.0,0,0,0,0,0,0,0
flat,Godrej,Sector 33,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,3,south-east,Undefined,,1385.0,,,0,0,0,0,0,0,0
flat,Shree Vardhman Flora,Sector 90,0.7,5384.0,1300.0,Super Built up area 1300(120.77 sq.m.),2,2,3,13,na,New Property,,1300.0,,,1,0,0,0,0,0,15
flat,Sobha City,Sector 108,3.95,16859.0,2343.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,25,na,Undefined,,,2343.0,2300.0,0,0,0,0,0,0,59
flat,Senate Court,Sector 62,0.9,14084.0,639.0,Built Up area: 639 (59.37 sq.m.),1,1,0,0,na,Undefined,,,639.0,,0,0,0,0,0,0,0
flat,Shapoorji Pallonji Joyville,Sector 102,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0,na,New Property,,,,915.0,0,0,0,0,0,0,49
flat,Central Park Flower Valley,Sector 33,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,3,3,12,north-east,New Property,,2100.0,,,0,1,0,0,0,2,49
flat,Smart World Gems,Sector 89,1.01,9156.0,1103.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4,na,Under Construction,,,,1103.0,1,0,0,0,0,0,38
flat,Bestech Altura,Sector 79,1.85,8604.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,11,north,New Property,,2150.0,,,0,1,0,0,0,0,49
flat,Smart World Gems,Sector 89,0.86,7796.0,1103.0,Super Built up area 1103(102.47 sq.m.),2,3,3,4,na,New Property,,1103.0,,,0,0,0,0,0,0,45
flat,Emaar Imperial Gardens,Sector 102,1.85,9135.0,2025.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,0,south-west,Relatively New,,,,2025.0,0,1,0,0,0,2,95
flat,La Vida By Tata Housing,Sector 113,2.85,12855.0,2217.0,Super Built up area 2217(205.97 sq.m.),3,3,3+,10,east,New Property,,2217.0,,,0,1,0,0,0,0,72
flat,The Serenas,Sector 36,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,3,na,Undefined,,,,531.0,0,0,0,0,0,0,0
flat,M Golfestate,Sector 65,6.15,18331.0,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,20,north-east,Undefined,,,3355.0,2200.0,0,0,0,0,0,0,0
flat,Central Park Resort Belgravia Residences,Sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5,south-east,Moderately Old,,,,2880.0,0,1,0,0,0,2,49
flat,Apex Builders,Sector 37C,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4,north,Relatively New,,,,750.0,0,0,0,0,0,0,42
flat,Godrej Habitat,Sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4,north-east,Undefined,,,1056.0,912.0,0,0,0,0,0,0,60
flat,Ompee K S Residency,New Gurgaon,1.6,26936.0,594.0,Carpet area: 66 (55.18 sq.m.),2,2,2,1,na,Relatively New,,,,66.0,0,0,0,0,0,0,0
