property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,City Shri Ram Apartments,sector 110,0.22,3666,5400,Super Built up area 600(55.74 sq.m.),2,1,1,1,na,Relatively New,600.0,,,0,0,0,0,0,1,0
house,Central Park Flower Valley,sector 33,1.15,9349,1732,Plot area 1737(161.37 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1230 sq.ft. (114.27 sq.m.),2,2,,2,north,Relatively New,,1400.0,1230.0,1,0,0,0,0,0,71
flat,Mapsko Royale Ville,sector 82,1.15,6424,1790,Super Built up area 1790(166.3 sq.m.),3,4,2,15,north-east,Relatively New,1790.0,,,0,1,0,1,0,0,104
flat,Ardee City,sector 52,1.5,9146,1640,Super Built up area 1640(152.36 sq.m.),4,4,3,3,na,Old,1640.0,,,0,0,0,0,0,1,65
flat,Green Court,sector 90,0.45,7188,5634,Carpet area: 626 (58.16 sq.m.),2,2,1,2,na,New Property,,,626.0,0,0,0,0,0,0,42
house,Ansal Height Height,sector 43,1.85,31828,5229,Plot area 60(5.57 sq.m.),1,2,,5,north-west,Relatively New,,60.0,,0,0,0,0,0,1,53
flat,Microtek Greenburg,sector 86,1.65,8707,1895,Super Built up area 1895(176.05 sq.m.),3,4,3,8,north-west,Relatively New,1895.0,,,0,1,0,0,0,1,124
flat,Emaar Palm Gardens,sector 83,1.8,9473,1900,Super Built up area 1900(176.52 sq.m.)Carpet area: 1244.33 sq.ft. (115.6 sq.m.),3,1,3,4,west,Relatively New,1900.0,,1244.0,1,1,1,1,0,0,174
flat,SS Residency Residency Almeria,sector 84,1.48,7400,2000,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,1,south-west,New Property,2000.0,,1294.0,0,1,1,0,0,0,139
house,Independent,sector 57,3.3,19097,1732,Plot area 192(160.54 sq.m.),4,4,,3,south-east,Moderately Old,,1732.0,,0,0,1,0,0,0,60
flat,Tulip Ivory,sector 70,2.35,9791,2400,Carpet area: 2400 (222.97 sq.m.),4,4,3+,10,east,Moderately Old,,,2400.0,0,1,0,0,0,0,65
flat,Umang Monsoon Breeze,sector 78,0.62,5004,1239,Super Built up area 1239(115.11 sq.m.)Built Up area: 1115 sq.ft. (103.59 sq.m.)Carpet area: 947 sq.ft. (87.98 sq.m.),2,2,1,7,south,Moderately Old,1239.0,1115.0,947.0,0,0,1,0,0,1,111
house,Jacobpura,sector 12,0.52,14583,3195,Plot area 360(33.45 sq.m.),4,4,,3,east,Relatively New,,360.0,,0,0,0,0,0,1,0
flat,Orchid Petals,sector 49,2.55,12318,2070,Super Built up area 2070(192.31 sq.m.)Built Up area: 2060 sq.ft. (191.38 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,8,east,Relatively New,2070.0,2060.0,1760.0,1,0,0,0,0,0,49
house,Emaar MGF Marbella,sector 66,19.0,21114,8998,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,3,,3,north-east,Relatively New,,9000.0,6000.0,0,1,1,1,0,0,110
flat,ATS Tourmaline,sector 109,1.5,6976,2150,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,1,3+,4,north-west,Relatively New,2150.0,1797.0,1670.0,0,1,0,0,0,1,39
flat,Bestech Park View Ananda,sector 81,0.88,8042,1094,Super Built up area 1360(126.35 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2,2,3,8,west,Relatively New,1360.0,,1094.0,1,0,0,0,0,0,95
flat,Capital Residences,sector 70a,1.18,8137,1450,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,7,east,New Property,1450.0,1400.0,1000.0,0,0,0,1,0,1,140
flat,Umang Monsoon Breeze,sector 78,0.8,4836,1654,Super Built up area 1654(153.66 sq.m.)Built Up area: 1472 sq.ft. (136.75 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),3,2,2,7,south,Moderately Old,1654.0,1472.0,1310.0,0,0,0,1,0,1,102
flat,SS Residency Residency The Leaf,sector 85,1.2,9677,1240,Super Built up area 1772(164.62 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2,2,3+,9,east,Relatively New,1772.0,,1240.0,0,0,1,0,0,1,148
flat,DLF The Primus,sector 82a,2.6,11438,2273,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2,east,Relatively New,2273.0,,1340.0,0,0,0,0,1,1,38
house,Experion Windchants,sector 112,7.99,12519,6382,Built Up area: 6382 (592.91 sq.m.),4,3,,2,south-east,New Property,,6382.0,,0,1,1,1,0,0,129
flat,Smart World Orchard,sector 61,1.55,13478,1150,Super Built up area 1150(106.84 sq.m.),2,2,1,3,na,New Property,1150.0,,,1,0,0,0,0,1,43
flat,DLF Regal Gardens,sector 90,2.05,9000,2278,Super Built up area 2215(205.78 sq.m.),4,4,3+,5,na,Relatively New,2215.0,,,0,0,0,0,0,0,49
flat,Shri Ram Apartments,sector 4,0.46,5111,8100,Carpet area: 900 (83.61 sq.m.),2,2,1,1,east,Relatively New,,,900.0,0,0,0,0,0,0,69
house,Independent,sector 28,11.25,34723,3239,Plot area 360(301.01 sq.m.),4,2,,2,north,Moderately Old,,3247.0,,0,1,1,1,0,0,126
house,Independent,sector 2,19.5,27079,7201,Plot area 800(668.9 sq.m.),4,3,,2,north,New Property,,7215.0,,1,1,0,1,0,1,122
flat,Godrej Summit,sector 104,1.35,5000,2700,Carpet area: 2700 (250.84 sq.m.),4,2,3+,0,north-east,Relatively New,,,2700.0,1,1,1,1,0,1,112
house,Independent,sector 4,0.65,13000,4455,Plot area 500(46.45 sq.m.),2,1,,3,east,Moderately Old,,500.0,,0,0,0,0,0,1,7
flat,Emaar MGF Palm Studios,sector 66,1.7,13502,1259,Super Built up area 1185(110.09 sq.m.),2,2,2,7,na,Relatively New,1185.0,,,0,0,0,0,1,1,99
flat,Parsvnath Green Ville,sector 48,1.75,7201,2430,Super Built up area 2430(225.75 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,7,south,Old,2430.0,2200.0,1800.0,0,1,0,0,0,0,109
flat,Railway Officers Rpf Society,sector 9a,1.3,5039,2580,Built Up area: 2580 (239.69 sq.m.),4,4,3+,9,east,Undefined,,2580.0,,0,0,0,0,0,1,0
flat,Umang Winter Hills,sector 77,0.75,5588,1342,Super Built up area 1342(124.68 sq.m.)Built Up area: 1140 sq.ft. (105.91 sq.m.)Carpet area: 969 sq.ft. (90.02 sq.m.),2,2,2,8,south,Relatively New,1342.0,1140.0,969.0,0,0,1,0,0,0,102
flat,MVN Athens,sohna road,0.21,4666,4050,Carpet area: 450 (41.81 sq.m.),1,1,1,11,na,New Property,,,450.0,0,0,0,0,0,1,16
flat,Signature Global Park,sohna road,0.75,6938,1081,Built Up area: 1081 (100.43 sq.m.),2,2,0,1,na,Undefined,,1081.0,,0,0,0,0,0,1,58
flat,Tulip Violet,sector 69,1.78,8855,2010,Super Built up area 2010(186.74 sq.m.),4,4,2,10,north-east,Relatively New,2010.0,,,0,0,0,1,0,0,156
flat,Whiteland  The Aspen,sector 76,3.5,11917,2937,Built Up area: 2937 (272.86 sq.m.)Carpet area: 1762 sq.ft. (163.7 sq.m.),3,4,3,8,na,Undefined,,2937.0,1762.0,0,0,0,0,0,1,0
flat,SS Residency Residency The Leaf,sector 85,1.98,8256,2398,Super Built up area 2408(223.71 sq.m.)Built Up area: 2399 sq.ft. (222.87 sq.m.)Carpet area: 2398 sq.ft. (222.78 sq.m.),3,4,3,12,west,Relatively New,2408.0,2399.0,2398.0,0,0,1,0,0,1,174
flat,Guru Gram Haryana Cghs,sector 56,1.38,7225,1910,Built Up area: 1910 (177.44 sq.m.),3,3,3,5,north,Moderately Old,,1910.0,,1,0,0,0,0,0,134
flat,M Woodshire,sector 107,0.88,6442,1366,Super Built up area 1366(126.91 sq.m.),2,2,3+,3,east,Relatively New,1366.0,,,0,0,0,0,0,1,99
flat,M Woodshire,sector 107,0.9,5867,1534,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2,2,3,8,south,Relatively New,1534.0,,1056.0,1,0,0,0,0,0,74
flat,Indiabulls Enigma,sector 110,3.79,9895,3830,Super Built up area 3830(355.82 sq.m.),5,2,3,4,south-west,Relatively New,3830.0,,,0,1,0,0,1,1,125
flat,Tulip Ivory,sector 70,2.1,8750,2400,Super Built up area 2400(222.97 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,2,3+,5,west,Moderately Old,2400.0,,1850.0,0,1,0,0,0,0,120
flat,Ambience Creacions,sector 22,3.99,12912,3090,Super Built up area 3090(287.07 sq.m.),3,2,3+,3,na,New Property,3090.0,,,0,1,0,0,0,2,102
flat,DLF Regency Park,sector 28,1.6,14545,1100,Carpet area: 1100 (102.19 sq.m.),2,2,2,3,north,Relatively New,,,1100.0,0,0,0,0,0,1,52
flat,SS Residency Residency,sector 85,1.2,7151,1678,Super Built up area 1671(155.24 sq.m.)Built Up area: 1660 sq.ft. (154.22 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),2,2,3,15,north-east,Relatively New,1671.0,1660.0,1650.0,0,0,0,0,0,1,49
flat,Tulip Violet,sector 69,1.4,8920,1570,Super Built up area 1568(145.67 sq.m.),3,3,1,12,east,Relatively New,1568.0,,,0,0,0,1,0,1,86
flat,Emaar MGF Emerald Floors Premier,sector 65,2.8,16969,1650,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3,2,north,Relatively New,1975.0,1800.0,1650.0,1,0,0,0,0,0,89
flat,Corona Optus,sector 37c,1.4,7035,1990,Super Built up area 1990(184.88 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1790 sq.ft. (166.3 sq.m.),3,1,3+,4,south,Relatively New,1990.0,1890.0,1790.0,0,1,0,0,0,1,149
flat,DLF Carlton Estate,sector 43,2.0,14214,1407,Super Built up area 1407(130.71 sq.m.),3,3,2,5,south-west,Moderately Old,1407.0,,,0,0,0,0,0,1,65
house,Independent,sector 3,0.68,3874,1754,Built Up area: 1755 (163.04 sq.m.),5,3,,1,na,Undefined,,1755.0,,0,0,0,0,0,1,0
flat,Antriksh Heights,sector 84,0.9,4931,1825,Super Built up area 1825(169.55 sq.m.),3,3,3,11,south,Relatively New,1825.0,,,0,0,0,0,0,1,87
flat,Imperia The Esfera,sector 37c,0.85,5386,1578,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9,south-east,Relatively New,1578.0,,1310.0,1,0,0,0,0,1,49
flat,DLF New Town Heights,sector 90,1.2,6217,1930,Carpet area: 1930 (179.3 sq.m.),3,3,3+,8,north-west,Moderately Old,,,1930.0,0,1,0,1,0,1,59
flat,SS Residency Residency The Leaf,sector 85,1.14,6951,1640,Super Built up area 1640(152.36 sq.m.),2,2,3,4,south,Relatively New,1640.0,,,0,0,0,0,0,1,109
house,Independent,sector 14,4.6,20444,2249,Built Up area: 2250 (209.03 sq.m.),1,1,,1,na,Undefined,,2250.0,,0,0,0,0,0,1,0
flat,Pareena Laxmi Apartments,sector 99a,0.32,6106,4716,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2,2,2,2,na,New Property,524.0,,425.0,0,0,0,0,0,1,50
flat,Signature Global Park,sohna road,0.54,6506,7470,Carpet area: 830 (77.11 sq.m.),2,2,1,2,na,Relatively New,,,830.0,0,0,0,0,0,1,16
flat,DLF The Ultima,sector 81,2.25,10553,2132,Super Built up area 2132(198.07 sq.m.),3,3,3+,15,north-east,Relatively New,2132.0,,,0,1,0,0,0,2,165
flat,Tulip Violet,sector 69,1.36,8618,1578,Super Built up area 1578(146.6 sq.m.),3,3,2,12,west,Relatively New,1578.0,,,0,0,0,1,0,0,49
flat,Spaze Privy,sector 72,1.9,9620,1975,Built Up area: 1975 (183.48 sq.m.),3,3,3,10,na,Undefined,,1975.0,,0,0,0,0,0,1,0
house,Independent,sector 13,1.5,10518,1420,Plot area 1426(132.48 sq.m.),2,2,,3,south-west,Old,,1426.0,,1,0,0,1,0,1,7
flat,M Skywalk,sector 74,1.78,12500,1424,Carpet area: 1424 (132.29 sq.m.),2,2,3+,12,na,Undefined,,,1424.0,0,0,0,0,0,1,0
flat,GLS Arawali Homes,sohna road,0.32,6722,4284,Built Up area: 476 (44.22 sq.m.),2,1,0,0,na,Undefined,,476.0,,0,0,0,0,0,1,0
house,Independent,sector 3,0.55,7333,6777,Built Up area: 750 (69.68 sq.m.),1,1,,1,na,Undefined,,750.0,,0,0,0,0,0,1,0
flat,Unitech Uniworld Gardens,sector 47,1.05,10531,8973,Carpet area: 997 (92.62 sq.m.),2,2,2,3,north-east,Relatively New,,,997.0,0,0,0,0,0,0,34
flat,Vatika,sector 83,0.98,8166,1200,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,5,south,Relatively New,1445.0,1300.0,1200.0,0,0,0,0,0,0,96
house,Independent,sector 3 phase 2,0.85,9444,8136,Carpet area: 900 (83.61 sq.m.),5,3,,1,na,Undefined,,,900.0,0,0,0,0,0,1,0
flat,DLF New Town Heights,sector 91,2.0,6967,2871,Super Built up area 2727(253.35 sq.m.),4,4,3+,16,east,Moderately Old,2727.0,,,1,1,0,1,0,1,65
flat,M Golfestate,sector 65,4.94,16233,3043,Super Built up area 3043(282.7 sq.m.),3,4,3,15,north-east,Moderately Old,3043.0,,,0,1,0,0,0,1,165
flat,Emaar MGF Emerald Floors Premier,sector 65,2.35,14242,1650,Built Up area: 1650 (153.29 sq.m.),3,1,2,4,east,Relatively New,,1650.0,,1,1,0,0,0,1,165
