property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
flat,Manesar,2233,Moderately Old,4,4,0,0,0,3,Semi-furnished,Low,Mid-rise,0.9
house,Sector 48,3229,Moderately Old,4,2,1,1,1,1,Un-furnished,Medium,Low-rise,7.35
house,Sector 10A,2367,Moderately Old,4,3,0,0,0,2,Semi-furnished,Low,Low-rise,4.25
flat,Sector 81,1300,Relatively New,2,2,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.87
flat,Sector 88A,1582,New Property,3,3,0,0,0,3+,Semi-furnished,Medium,High-rise,2.65
flat,Sector 107,608,Relatively New,2,2,0,0,0,1,Furnished,Average,Mid-rise,0.5
house,Sector 24,4844,Old,2,2,0,0,0,1,Semi-furnished,Low,Mid-rise,1.6
house,Sector 8,450,Relatively New,2,3,0,0,0,1,Semi-furnished,Low,Low-rise,0.32
house,Sector 4,802,Moderately Old,2,1,0,0,0,1,Semi-furnished,Low,Low-rise,0.55
flat,Sector 111,1991,Relatively New,3,4,0,1,0,2,Semi-furnished,Medium,Mid-rise,2.58
flat,Sector 81,1650,Relatively New,3,3,0,0,0,3,Un-furnished,Medium,Mid-rise,1.45
flat,Manesar,2135,New Property,4,2,0,1,0,3+,Semi-furnished,Average,High-rise,1.5
flat,Sector 93,730,Relatively New,2,2,0,0,0,0,Semi-furnished,Low,Basement/Ground Floor,0.4
flat,Sector 89,1032,Moderately Old,2,2,0,0,0,2,Semi-furnished,Low,Mid-rise,0.75
flat,Sector 67,1853,Relatively New,3,3,0,0,1,3,Furnished,High,Low-rise,2.8
flat,Sector 85,1604,Relatively New,2,2,0,0,0,3,Semi-furnished,Average,High-rise,1.14
flat,Sector 74,1545,New Property,2,2,0,0,0,1,Semi-furnished,Low,Mid-rise,1.5
flat,Sohna Road,1395,Relatively New,2,2,0,0,0,3,Semi-furnished,High,Mid-rise,0.72
flat,Sector 47,539,Old,1,1,0,0,0,2,Semi-furnished,Average,Low-rise,0.65
house,New Gurgaon Phase 1,1341,Relatively New,2,2,1,0,0,3,Un-furnished,Average,Low-rise,2.0
flat,Sector 92,2350,Relatively New,3,2,0,0,0,3,Semi-furnished,Low,Basement/Ground Floor,1.1
flat,Sohna Road,773,New Property,1,1,0,0,0,1,Semi-furnished,Medium,Low-rise,0.22
flat,Sector 58,1432,Relatively New,2,2,1,0,0,1,Un-furnished,Medium,Mid-rise,2.2
flat,Sohna Road,392,New Property,1,1,0,0,0,1,Furnished,Low,Mid-rise,0.28
flat,Sohna Road,681,Relatively New,2,2,0,0,0,1,Un-furnished,Medium,High-rise,0.25
house,Sector 26,2706,Old,5,2,1,1,1,2,Furnished,Medium,Low-rise,9.0
house,Sector 31,1452,Moderately Old,4,3,0,0,1,3,Un-furnished,Medium,Low-rise,3.5
house,Sector 24,5000,Old,2,4,1,1,0,1,Un-furnished,Average,Low-rise,11.0
flat,Sector 85,1512,Relatively New,2,2,0,0,0,2,Semi-furnished,Average,High-rise,1.06
flat,Sector 108,975,Relatively New,3,3,1,0,0,3+,Semi-furnished,Medium,High-rise,1.2
flat,Sector 84,1561,New Property,3,3,0,0,0,3+,Semi-furnished,Low,Mid-rise,0.79
flat,Sector 65,1654,New Property,3,3,0,0,0,3,Semi-furnished,Medium,High-rise,2.8
house,Sector 31,1804,Moderately Old,5,2,0,0,1,3,Un-furnished,Average,Low-rise,4.25
house,Sector 70A,1600,Relatively New,3,3,0,0,0,3,Un-furnished,Medium,Low-rise,1.04
flat,Sector 36A,400,Relatively New,1,1,0,0,0,1,Semi-furnished,Medium,Mid-rise,0.36
house,Sector 26,3247,Old,5,2,1,1,1,1,Un-furnished,Medium,Low-rise,12.5
flat,Sector 89,1362,New Property,2,2,1,0,0,2,Semi-furnished,Low,Low-rise,0.97
flat,Sohna Road,995,New Property,2,2,0,0,0,2,Semi-furnished,Average,High-rise,0.48
flat,Sector 50,1830,Moderately Old,3,3,0,0,0,3+,Un-furnished,High,High-rise,1.82
flat,Sector 63,1841,New Property,3,3,0,0,0,3+,Un-furnished,Low,Low-rise,3.35
flat,Sector 59,2533,New Property,3,3,0,0,0,3,Semi-furnished,Average,Low-rise,3.78
flat,Sector 48,3179,Moderately Old,3,2,0,1,0,3+,Un-furnished,Average,Mid-rise,6.25
