property_type,society,sector,price_in_cr,price_per_sqft,bedroom,bathroom,balcony,facing,agepossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,Shree Vardhman Victoria,Sector 70,1.78,9128,3,3,3+,north-east,Relatively New,1765,0,1,0,0,1,Semi-furnished,Average,Mid-rise
flat,Mapsko Mount Ville,Sector 79,1.3,8724,3,3,3,east,Relatively New,1176,0,0,1,0,0,Un-furnished,Medium,High-rise
house,Bhim Nagar Society,Sector 6,0.4,2500,4,2,3,east,Old,1600,0,0,0,0,0,Semi-furnished,Low,Low-rise
house,Madan Puri,Sector 7,0.75,12500,3,2,1,south-east,Moderately Old,600,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,DLF The Icon,Sector 43,5.25,20388,4,4,3,north,Old,2570,0,1,0,1,1,Semi-furnished,Medium,Mid-rise
flat,Whiteland Blissville,Sector 76,1.92,11500,3,3,2,north-east,New Property,1672,0,0,0,0,0,Semi-furnished,Medium,Low-rise
flat,GLS Arawali Homes,Sohna Road,0.28,4307,2,2,2,north-east,New Property,650,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Umang Winter Hills,Sector 77,0.8,5961,2,2,2,north,Relatively New,1159,0,0,0,0,0,Un-furnished,Average,High-rise
flat,Vatika,Sector 83,1.1,6162,3,3,3+,north-west,Relatively New,1600,0,0,0,0,0,Un-furnished,Medium,Mid-rise
flat,Puri The Aravallis,Sector 61,3.87,17200,3,4,3+,east,Under Construction,1708,0,1,0,0,0,Semi-furnished,Medium,Skyscraper
flat,Ambience Creacions,Sector 22,2.4,17391,2,2,2,south-east,Relatively New,1200,0,0,0,0,1,Furnished,Medium,Mid-rise
flat,Vatika City,Sector 49,1.69,8622,3,3,3,north,Moderately Old,2163,0,0,0,1,0,Semi-furnished,Medium,Low-rise
flat,The Close North,Sector 50,2.65,11276,3,3,3+,south-east,Moderately Old,2491,0,1,0,0,0,Semi-furnished,High,Low-rise
flat,Signature The Roselia,Sector 95,0.42,6194,2,2,2,north,New Property,678,1,0,0,0,0,Un-furnished,Medium,High-rise
flat,M Golf Hills Phase,Sector 79,1.7,10828,3,2,3,north-east,Relatively New,1570,0,0,0,0,0,Semi-furnished,Low,High-rise
house,Independent,Sector 46,6.5,27449,3,1,2,north-west,Relatively New,2372,1,0,0,1,0,Un-furnished,Average,Mid-rise
flat,Adani M Oyster Grande,Sector 102,2.61,10046,3,3,3,north-east,Relatively New,2200,1,1,0,0,0,Semi-furnished,Low,High-rise
house,Independent,Sector 26,9.0,33312,5,2,2,south-west,Old,2706,1,1,1,1,0,Furnished,Medium,Low-rise
flat,Umang Winter Hills,Sector 77,1.1,5296,3,4,3+,north,Relatively New,1823,0,1,0,0,0,Semi-furnished,Average,Mid-rise
flat,Tulip Yellow,Sector 69,1.8,10563,3,3,3,east,New Property,1881,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Godrej Habitat,Sector 3,1.1,10410,2,2,2,north-east,New Property,957,0,0,0,0,0,Semi-furnished,Medium,High-rise
flat,DLF New Town Heights,Sector 86,1.55,6578,4,4,3+,north-east,Moderately Old,2032,0,1,0,1,0,Un-furnished,Medium,High-rise
flat,Tulip Leaf,Sector 69,2.06,11386,3,3,3,south-west,Relatively New,1640,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Eldeco Accolade,Sohna Road,1.1,7549,3,2,3,north-east,Relatively New,1319,0,0,0,0,0,Semi-furnished,Average,High-rise
house,Independent,Sector 4,0.65,9585,1,1,1,south-east,Moderately Old,678,0,0,0,0,1,Semi-furnished,Low,Low-rise
flat,DLF New Town Heights,Sector 90,1.99,7297,4,4,3+,east,Relatively New,3010,0,1,0,1,0,Un-furnished,Medium,Mid-rise
flat,Corona Optus,Sector 37C,1.2,6916,3,4,3,south-west,Relatively New,1635,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,La Vida By Tata Housing,Sector 113,2.78,10334,3,4,3+,north-east,Relatively New,2350,0,1,0,0,0,Semi-furnished,High,Mid-rise
